Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Owner Occupied Households With Own Children under 6 years and 6 to 17 years,B25012_006,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_006,2022,2020,block group
Owner Occupied Households With Own Children 6 to 17 years,B25012_007,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_007,2022,2020,block group
Owner Occupied Households No Own Children under 18,B25012_008,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_008,2022,2020,block group
Owner Occupied Households No Related Children under 18,B25012_009,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_009,2022,2020,block group
Total Renter Occupied Housholds by Presence of Children,B25012_010,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_010,2022,2020,block group
Renter Occupied Households With Related Children under 18,B25012_011,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_011,2022,2020,block group
Renter Occupied Households With Own Children under 18,B25012_012,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_012,2022,2020,block group
Renter Occupied Households With Own Children under 6 years only,B25012_013,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_013,2022,2020,block group
Renter Occupied Households With Own Children under 6 years and 6 to 17 years,B25012_014,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_014,2022,2020,block group
Renter Occupied Households With Own Children 6 to 17 years,B25012_015,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_015,2022,2020,block group
Renter Occupied Households No Own Children under 18,B25012_016,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_016,2022,2020,block group
Renter Occupied Households No Related Children under 18,B25012_017,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_017,2022,2020,block group
Group Quarters Population,B26001_001,Group Quarters,American Community Survey,acs/acs5,B26001_001,2022,2020,block group
Median Age Female,B01002_003,Age,American Community Survey,acs/acs5,B01002_003,2022,2020,block group
Median Age Male,B01002_002,Age,American Community Survey,acs/acs5,B01002_002,2022,2020,block group
Total Households by Household Size,B25009_001,Tenure by Household Size,American Community Survey,acs/acs5,B25009_001,2022,2020,block group
Total Owner Occupied Housholds,B25009_002,Tenure by Household Size,American Community Survey,acs/acs5,B25009_002,2022,2020,block group
Owner Occupied 1 person household,B25009_003,Tenure by Household Size,American Community Survey,acs/acs5,B25009_003,2022,2020,block group
Owner Occupied 2 person household,B25009_004,Tenure by Household Size,American Community Survey,acs/acs5,B25009_004,2022,2020,block group
Owner Occupied 3 person household,B25009_005,Tenure by Household Size,American Community Survey,acs/acs5,B25009_005,2022,2020,block group
Owner Occupied 4 person household,B25009_006,Tenure by Household Size,American Community Survey,acs/acs5,B25009_006,2022,2020,block group
Owner Occupied 5 person household,B25009_007,Tenure by Household Size,American Community Survey,acs/acs5,B25009_007,2022,2020,block group
Owner Occupied 6 person household,B25009_008,Tenure by Household Size,American Community Survey,acs/acs5,B25009_008,2022,2020,block group
Owner Occupied 7 person or more household,B25009_009,Tenure by Household Size,American Community Survey,acs/acs5,B25009_009,2022,2020,block group
Total Renter Occupied Housholds,B25009_010,Tenure by Household Size,American Community Survey,acs/acs5,B25009_010,2022,2020,block group
Renter Occupied 1 person household,B25009_011,Tenure by Household Size,American Community Survey,acs/acs5,B25009_011,2022,2020,block group
Renter Occupied 2 person household,B25009_012,Tenure by Household Size,American Community Survey,acs/acs5,B25009_012,2022,2020,block group
Renter Occupied 3 person household,B25009_013,Tenure by Household Size,American Community Survey,acs/acs5,B25009_013,2022,2020,block group
Renter Occupied 4 person household,B25009_014,Tenure by Household Size,American Community Survey,acs/acs5,B25009_014,2022,2020,block group
Renter Occupied 5 person household,B25009_015,Tenure by Household Size,American Community Survey,acs/acs5,B25009_015,2022,2020,block group
Renter Occupied 6 person household,B25009_016,Tenure by Household Size,American Community Survey,acs/acs5,B25009_016,2022,2020,block group
Renter Occupied 7 person or more household,B25009_017,Tenure by Household Size,American Community Survey,acs/acs5,B25009_017,2022,2020,block group
Total Households by Presence of Children,B25012_001,Tenure by Prescence of Children,American Community Survey,acs/acs5,B25012_001,2022,2020,block group
Total Owner Occupied Housholds by Presence of Children,B25012_002,Tenure by Prescence of Children,American Community Survey,acs/acs6,B25012_002,2022,2020,block group
Owner Occupied Households With Related Children under 18,B25012_003,Tenure by Prescence of Children,American Community Survey,acs/acs7,B25012_003,2022,2020,block group
Owner Occupied Households With Own Children under 18,B25012_004,Tenure by Prescence of Children,American Community Survey,acs/acs8,B25012_004,2022,2020,block group
Owner Occupied Households With Own Children under 6 years only,B25012_005,Tenure by Prescence of Children,American Community Survey,acs/acs9,B25012_005,2022,2020,block group
