"State","Zip Code","Program","Participants"
"NV","89002","Au Pair","1"
"NV","89012","Au Pair","1"
"NV","89012","Au Pair","1"
"NV","89031","Au Pair","1"
"NV","89044","Au Pair","1"
"NV","89044","Au Pair","2"
"NV","89052","Au Pair","5"
"NV","89052","Au Pair","1"
"NV","89052","Au Pair","1"
"NV","89052","Au Pair","4"
"NV","89052","Au Pair","1"
"NV","89074","Au Pair","1"
"NV","89107","Au Pair","1"
"NV","89113","Au Pair","2"
"NV","89117","Au Pair","1"
"NV","89117","Au Pair","4"
"NV","89128","Au Pair","2"
"NV","89128","Au Pair","1"
"NV","89129","Au Pair","1"
"NV","89131","Au Pair","1"
"NV","89131","Au Pair","2"
"NV","89131","Au Pair","1"
"NV","89134","Au Pair","3"
"NV","89135","Au Pair","1"
"NV","89135","Au Pair","4"
"NV","89138","Au Pair","3"
"NV","89139","Au Pair","1"
"NV","89141","Au Pair","2"
"NV","89141","Au Pair","1"
"NV","89144","Au Pair","3"
"NV","89148","Au Pair","2"
"NV","89149","Au Pair","1"
"NV","89166","Au Pair","1"
"NV","89178","Au Pair","1"
"NV","89183","Au Pair","1"
"NV","89183","Au Pair","1"
"NV","89436","Au Pair","1"
"NV","89448","Au Pair","1"
"NV","89451","Au Pair","1"
"NV","89451","Au Pair","4"
"NV","89451","Au Pair","1"
"NV","89506","Au Pair","1"
"NV","89509","Au Pair","1"
"NV","89511","Au Pair","3"
"NV","89512","Au Pair","2"
"NV","89519","Au Pair","1"
"NV","89523","Au Pair","1"
"NV","89703","Au Pair","1"
"NV","89704","Au Pair","1"
"NV","89109","Intern","1"
"NV","89109","Intern","1"
"NV","89414","Intern","1"
"NV","89437","Intern","2"
"NV","89449","Intern","3"
"NV","89449","Intern","1"
"NV","89451","Intern","5"
"NV","89451","Intern","10"
"NV","89502","Intern","4"
"NV","89511","Intern","2"
"NV","89511","Intern","1"
"NV","89595","Intern","2"
"NV","89595","Intern","1"
"NV","89706","Intern","1"
"NV","89102","Research Scholar","1"
"NV","89106","Research Scholar","1"
"NV","89154","Research Scholar","1"
"NV","89154","Research Scholar","15"
"NV","89503","Research Scholar","1"
"NV","89511","Research Scholar","1"
"NV","89512","Research Scholar","3"
"NV","89557","Research Scholar","2"
"NV","89557","Research Scholar","29"
"NV","89154","Short-Term Scholar","6"
"NV","89557","Short-Term Scholar","3"
"NV","89119","Specialist","1"
"NV","89557","Student Doctorate","1"
"NV","89557","Student Doctorate","5"
"NV","89154","Student Intern","12"
"NV","89557","Student Masters","1"
"NV","89557","Student Masters","1"
"NV","89557","Student Masters","1"
"NV","89154","Student Non-Degree","1"
"NV","89557","Student Non-Degree","32"
"NV","89002","Student Secondary","2"
"NV","89002","Student Secondary","2"
"NV","89002","Student Secondary","1"
"NV","89002","Student Secondary","2"
"NV","89005","Student Secondary","1"
"NV","89005","Student Secondary","1"
"NV","89005","Student Secondary","1"
"NV","89014","Student Secondary","1"
"NV","89014","Student Secondary","3"
"NV","89014","Student Secondary","1"
"NV","89014","Student Secondary","1"
"NV","89014","Student Secondary","1"
"NV","89014","Student Secondary","1"
"NV","89014","Student Secondary","2"
"NV","89014","Student Secondary","1"
"NV","89015","Student Secondary","1"
"NV","89015","Student Secondary","2"
"NV","89015","Student Secondary","4"
"NV","89015","Student Secondary","2"
"NV","89015","Student Secondary","3"
"NV","89015","Student Secondary","1"
"NV","89021","Student Secondary","13"
"NV","89027","Student Secondary","1"
"NV","89030","Student Secondary","1"
"NV","89031","Student Secondary","1"
"NV","89032","Student Secondary","2"
"NV","89042","Student Secondary","5"
"NV","89048","Student Secondary","1"
"NV","89052","Student Secondary","2"
"NV","89052","Student Secondary","2"
"NV","89052","Student Secondary","2"
"NV","89052","Student Secondary","1"
"NV","89084","Student Secondary","1"
"NV","89101","Student Secondary","1"
"NV","89107","Student Secondary","1"
"NV","89110","Student Secondary","1"
"NV","89113","Student Secondary","1"
"NV","89113","Student Secondary","1"
"NV","89120","Student Secondary","1"
"NV","89121","Student Secondary","2"
"NV","89128","Student Secondary","1"
"NV","89131","Student Secondary","5"
"NV","89131","Student Secondary","8"
"NV","89131","Student Secondary","1"
"NV","89131","Student Secondary","1"
"NV","89131","Student Secondary","2"
"NV","89131","Student Secondary","5"
"NV","89131","Student Secondary","2"
"NV","89138","Student Secondary","2"
"NV","89141","Student Secondary","5"
"NV","89141","Student Secondary","1"
"NV","89142","Student Secondary","1"
"NV","89144","Student Secondary","1"
"NV","89144","Student Secondary","1"
"NV","89144","Student Secondary","1"
"NV","89144","Student Secondary","2"
"NV","89146","Student Secondary","1"
"NV","89146","Student Secondary","1"
"NV","89147","Student Secondary","2"
"NV","89149","Student Secondary","3"
"NV","89149","Student Secondary","4"
"NV","89149","Student Secondary","1"
"NV","89149","Student Secondary","2"
"NV","89149","Student Secondary","1"
"NV","89183","Student Secondary","2"
"NV","89301","Student Secondary","3"
"NV","89301","Student Secondary","2"
"NV","89301","Student Secondary","1"
"NV","89403","Student Secondary","2"
"NV","89403","Student Secondary","1"
"NV","89406","Student Secondary","1"
"NV","89406","Student Secondary","1"
"NV","89406","Student Secondary","2"
"NV","89406","Student Secondary","3"
"NV","89408","Student Secondary","5"
"NV","89419","Student Secondary","3"
"NV","89429","Student Secondary","1"
"NV","89434","Student Secondary","2"
"NV","89440","Student Secondary","1"
"NV","89447","Student Secondary","1"
"NV","89448","Student Secondary","1"
"NV","89511","Student Secondary","1"
"NV","89512","Student Secondary","2"
"NV","89512","Student Secondary","1"
"NV","89801","Student Secondary","5"
"NV","89815","Student Secondary","7"
"NV","89820","Student Secondary","1"
"NV","89019","Summer Work Travel","7"
"NV","89413","Summer Work Travel","1"
"NV","89431","Summer Work Travel","31"
"NV","89448","Summer Work Travel","9"
"NV","89448","Summer Work Travel","33"
"NV","89448","Summer Work Travel","4"
"NV","89449","Summer Work Travel","4"
"NV","89449","Summer Work Travel","4"
"NV","89449","Summer Work Travel","237"
"NV","89451","Summer Work Travel","3"
"NV","89451","Summer Work Travel","42"
"NV","89451","Summer Work Travel","2"
"NV","89451","Summer Work Travel","1"
"NV","89451","Summer Work Travel","28"
"NV","89451","Summer Work Travel","4"
"NV","89451","Summer Work Travel","3"
"NV","89451","Summer Work Travel","14"
"NV","89501","Summer Work Travel","188"
"NV","89501","Summer Work Travel","1"
"NV","89502","Summer Work Travel","2"
"NV","89502","Summer Work Travel","1"
"NV","89503","Summer Work Travel","2"
"NV","89503","Summer Work Travel","7"
"NV","89595","Summer Work Travel","8"
"NV","89835","Summer Work Travel","4"
"NV","89002","Teacher","2"
"NV","89014","Teacher","1"
"NV","89015","Teacher","1"
"NV","89015","Teacher","1"
"NV","89015","Teacher","1"
"NV","89030","Teacher","1"
"NV","89030","Teacher","2"
"NV","89031","Teacher","2"
"NV","89032","Teacher","1"
"NV","89032","Teacher","1"
"NV","89032","Teacher","3"
"NV","89052","Teacher","1"
"NV","89074","Teacher","1"
"NV","89081","Teacher","1"
"NV","89101","Teacher","2"
"NV","89106","Teacher","1"
"NV","89106","Teacher","2"
"NV","89106","Teacher","1"
"NV","89107","Teacher","1"
"NV","89107","Teacher","2"
"NV","89107","Teacher","1"
"NV","89110","Teacher","1"
"NV","89110","Teacher","1"
"NV","89110","Teacher","2"
"NV","89110","Teacher","1"
"NV","89110","Teacher","1"
"NV","89111","Teacher","1"
"NV","89115","Teacher","4"
"NV","89115","Teacher","1"
"NV","89115","Teacher","3"
"NV","89118","Teacher","1"
"NV","89120","Teacher","1"
"NV","89131","Teacher","1"
"NV","89131","Teacher","1"
"NV","89131","Teacher","1"
"NV","89135","Teacher","1"
"NV","89138","Teacher","1"
"NV","89141","Teacher","1"
"NV","89142","Teacher","1"
"NV","89144","Teacher","1"
"NV","89146","Teacher","1"
"NV","89148","Teacher","1"
"NV","89156","Teacher","3"
"NV","89156","Teacher","3"
"NV","89156","Teacher","3"
"NV","89183","Teacher","1"
"NV","89415","Teacher","4"
"NV","89511","Teacher","1"
"NV","89883","Teacher","2"
"NV","89883","Teacher","1"
"NV","89115","Trainee","1"
"NV","89117","Trainee","1"
"NV","89118","Trainee","1"
"NV","89119","Trainee","1"
"NV","89437","Trainee","1"
"NV","89437","Trainee","1"
"NV","89449","Trainee","1"
"NV","89451","Trainee","1"
"NV","89451","Trainee","2"
"NV","89451","Trainee","1"
"NV","89451","Trainee","1"
"NV","89502","Trainee","2"
"NV","89595","Trainee","3"
