"State","Zip Code","Program","Participants"
"NV","89102","Alien Physician","2"
"NV","89502","Alien Physician","1"
"NV","89002","Au Pair","1"
"NV","89052","Au Pair","3"
"NV","89107","Au Pair","2"
"NV","89117","Au Pair","1"
"NV","89134","Au Pair","1"
"NV","89135","Au Pair","2"
"NV","89138","Au Pair","1"
"NV","89139","Au Pair","1"
"NV","89141","Au Pair","3"
"NV","89145","Au Pair","1"
"NV","89148","Au Pair","2"
"NV","89448","Au Pair","1"
"NV","89451","Au Pair","3"
"NV","89509","Au Pair","2"
"NV","89511","Au Pair","3"
"NV","89519","Au Pair","1"
"NV","89521","Au Pair","2"
"NV","89014","Intern","1"
"NV","89032","Intern","1"
"NV","89109","Intern","1"
"NV","89135","Intern","1"
"NV","89154","Intern","2"
"NV","89437","Intern","1"
"NV","89449","Intern","10"
"NV","89502","Intern","15"
"NV","89595","Intern","3"
"NV","89706","Intern","3"
"NV","89154","Research Scholar","13"
"NV","89557","Research Scholar","19"
"NV","89119","Short-Term Scholar","1"
"NV","89154","Short-Term Scholar","4"
"NV","89557","Short-Term Scholar","6"
"NV","89557","Specialist","1"
"NV","89557","Student Doctorate","1"
"NV","89154","Student Intern","6"
"NV","89154","Student Masters","2"
"NV","89154","Student Non-Degree","1"
"NV","89503","Student Non-Degree","2"
"NV","89557","Student Non-Degree","15"
"NV","89005","Student Secondary","3"
"NV","89014","Student Secondary","1"
"NV","89015","Student Secondary","2"
"NV","89030","Student Secondary","3"
"NV","89031","Student Secondary","1"
"NV","89040","Student Secondary","1"
"NV","89042","Student Secondary","3"
"NV","89052","Student Secondary","3"
"NV","89084","Student Secondary","1"
"NV","89113","Student Secondary","2"
"NV","89123","Student Secondary","1"
"NV","89131","Student Secondary","2"
"NV","89144","Student Secondary","3"
"NV","89316","Student Secondary","1"
"NV","89415","Student Secondary","1"
"NV","89434","Student Secondary","1"
"NV","89445","Student Secondary","2"
"NV","89523","Student Secondary","3"
"NV","89706","Student Secondary","1"
"NV","89801","Student Secondary","1"
"NV","89815","Student Secondary","3"
"NV","89883","Student Secondary","1"
"NV","89448","Summer Work Travel","1"
"NV","89449","Summer Work Travel","2"
"NV","89451","Summer Work Travel","4"
"NV","89595","Summer Work Travel","2"
"NV","89705","Summer Work Travel","12"
"NV","89014","Teacher","1"
"NV","89015","Teacher","1"
"NV","89030","Teacher","1"
"NV","89031","Teacher","6"
"NV","89032","Teacher","2"
"NV","89081","Teacher","2"
"NV","89101","Teacher","2"
"NV","89104","Teacher","2"
"NV","89106","Teacher","1"
"NV","89107","Teacher","4"
"NV","89108","Teacher","2"
"NV","89110","Teacher","5"
"NV","89118","Teacher","1"
"NV","89120","Teacher","2"
"NV","89121","Teacher","10"
"NV","89122","Teacher","1"
"NV","89123","Teacher","1"
"NV","89128","Teacher","1"
"NV","89129","Teacher","1"
"NV","89130","Teacher","1"
"NV","89142","Teacher","2"
"NV","89146","Teacher","1"
"NV","89156","Teacher","5"
"NV","89178","Teacher","1"
"NV","89183","Teacher","1"
"NV","89030","Trainee","1"
"NV","89115","Trainee","1"
"NV","89437","Trainee","1"
"NV","89449","Trainee","1"
"NV","89502","Trainee","5"
"NV","89595","Trainee","1"
"NV","89822","Trainee","1"
