"State","Zip Code","Program","Participants"
"CA","90027","Alien Physician","2"
"CA","90033","Alien Physician","1"
"CA","90048","Alien Physician","3"
"CA","90059","Alien Physician","1"
"CA","90089","Alien Physician","2"
"CA","90095","Alien Physician","3"
"CA","90301","Alien Physician","7"
"CA","90502","Alien Physician","2"
"CA","90813","Alien Physician","1"
"CA","92037","Alien Physician","2"
"CA","92093","Alien Physician","3"
"CA","92103","Alien Physician","1"
"CA","92123","Alien Physician","1"
"CA","92173","Alien Physician","1"
"CA","92354","Alien Physician","2"
"CA","92404","Alien Physician","6"
"CA","92868","Alien Physician","1"
"CA","93003","Alien Physician","1"
"CA","93257","Alien Physician","3"
"CA","93291","Alien Physician","2"
"CA","93701","Alien Physician","8"
"CA","94114","Alien Physician","1"
"CA","94143","Alien Physician","3"
"CA","94304","Alien Physician","4"
"CA","94305","Alien Physician","8"
"CA","94602","Alien Physician","1"
"CA","95231","Alien Physician","1"
"CA","95817","Alien Physician","2"
"CA","90004","Au Pair","2"
"CA","90005","Au Pair","4"
"CA","90008","Au Pair","5"
"CA","90016","Au Pair","3"
"CA","90019","Au Pair","3"
"CA","90020","Au Pair","2"
"CA","90024","Au Pair","4"
"CA","90025","Au Pair","2"
"CA","90026","Au Pair","4"
"CA","90027","Au Pair","3"
"CA","90034","Au Pair","2"
"CA","90035","Au Pair","5"
"CA","90036","Au Pair","4"
"CA","90039","Au Pair","2"
"CA","90041","Au Pair","1"
"CA","90042","Au Pair","2"
"CA","90045","Au Pair","6"
"CA","90046","Au Pair","6"
"CA","90048","Au Pair","1"
"CA","90049","Au Pair","19"
"CA","90056","Au Pair","1"
"CA","90057","Au Pair","1"
"CA","90064","Au Pair","5"
"CA","90065","Au Pair","3"
"CA","90066","Au Pair","12"
"CA","90068","Au Pair","4"
"CA","90069","Au Pair","2"
"CA","90077","Au Pair","4"
"CA","90210","Au Pair","4"
"CA","90211","Au Pair","1"
"CA","90212","Au Pair","2"
"CA","90230","Au Pair","1"
"CA","90245","Au Pair","8"
"CA","90249","Au Pair","1"
"CA","90250","Au Pair","4"
"CA","90254","Au Pair","9"
"CA","90265","Au Pair","10"
"CA","90266","Au Pair","29"
"CA","90272","Au Pair","30"
"CA","90274","Au Pair","8"
"CA","90275","Au Pair","5"
"CA","90277","Au Pair","7"
"CA","90278","Au Pair","15"
"CA","90290","Au Pair","6"
"CA","90291","Au Pair","7"
"CA","90292","Au Pair","4"
"CA","90293","Au Pair","3"
"CA","90305","Au Pair","2"
