year_sample,tract,state,Description,county,variable_name,variable_code,census_geom_year,value,trpa_id
2010,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,623.0,320050016002010
2010,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,167.0,320050016002010
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1721.0,320050016002010
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,790.0,320050016002010
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,931.0,320050016002010
2010,001600,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,839.0,320050016002010
2010,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,290.0,320050017002010
2010,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,482.0,320050017002010
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1236.0,320050017002010
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,772.0,320050017002010
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,464.0,320050017002010
2010,001700,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,336.0,320050017002010
2010,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,674.0,320050018002010
2010,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,364.0,320050018002010
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1867.0,320050018002010
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,1038.0,320050018002010
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,829.0,320050018002010
2010,001800,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,490.0,320050018002010
2010,003305,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,269.0,320310033052010
2010,003305,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,224.0,320310033052010
2010,003305,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,765.0,320310033052010
2010,003305,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,493.0,320310033052010
2010,003305,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,272.0,320310033052010
2010,003305,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,223.0,320310033052010
2010,003306,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,347.0,320310033062010
2010,003306,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,336.0,320310033062010
2010,003306,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,1357.0,320310033062010
2010,003306,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,683.0,320310033062010
2010,003306,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,674.0,320310033062010
2010,003306,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,575.0,320310033062010
2010,003307,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,272.0,320310033072010
2010,003307,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,224.0,320310033072010
2010,003307,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,1245.0,320310033072010
2010,003307,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,496.0,320310033072010
2010,003307,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,749.0,320310033072010
2010,003307,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,541.0,320310033072010
2010,003308,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,889.0,320310033082010
2010,003308,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,180.0,320310033082010
2010,003308,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,1973.0,320310033082010
2010,003308,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,1069.0,320310033082010
2010,003308,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,904.0,320310033082010
2010,003308,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,765.0,320310033082010
2010,003309,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,800.0,320310033092010
2010,003309,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,383.0,320310033092010
2010,003309,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,2614.0,320310033092010
2010,003309,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,1183.0,320310033092010
2010,003309,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,1431.0,320310033092010
2010,003309,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1249.0,320310033092010
2010,020104,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,385.0,060610201042010
2010,020104,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,217.0,060610201042010
2010,020104,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1986.0,060610201042010
2010,020104,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,602.0,060610201042010
2010,020104,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,1384.0,060610201042010
2010,020104,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1307.0,060610201042010
2010,020105,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,442.0,060610201052010
2010,020105,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,193.0,060610201052010
2010,020105,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,2013.0,060610201052010
2010,020105,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,635.0,060610201052010
2010,020105,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,1378.0,060610201052010
2010,020105,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1308.0,060610201052010
2010,020106,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,483.0,060610201062010
2010,020106,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,274.0,060610201062010
2010,020106,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1866.0,060610201062010
2010,020106,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,757.0,060610201062010
2010,020106,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,1109.0,060610201062010
2010,020106,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1009.0,060610201062010
2010,020107,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,467.0,060610201072010
2010,020107,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,766.0,060610201072010
2010,020107,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1952.0,060610201072010
2010,020107,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,1233.0,060610201072010
2010,020107,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,719.0,060610201072010
2010,020107,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,533.0,060610201072010
2010,022100,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,270.0,060610221002010
2010,022100,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,185.0,060610221002010
2010,022100,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1408.0,060610221002010
2010,022100,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,455.0,060610221002010
2010,022100,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,953.0,060610221002010
2010,022100,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,882.0,060610221002010
2010,022200,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,229.0,060610222002010
2010,022200,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,206.0,060610222002010
2010,022200,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1339.0,060610222002010
2010,022200,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,435.0,060610222002010
2010,022200,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,904.0,060610222002010
2010,022200,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,827.0,060610222002010
2010,022300,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,H014002,2010,244.0,060610223002010
2010,022300,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,H004004,2010,106.0,060610223002010
2010,022300,06,Occupancy and Vacancy Status,061,Total Housing Units,H001001,2010,1542.0,060610223002010
2010,022300,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,H003002,2010,350.0,060610223002010
2010,022300,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,H003003,2010,1192.0,060610223002010
2010,022300,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1148.0,060610223002010
2010,030200,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,686.0,060170302002010
2010,030200,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,1001.0,060170302002010
2010,030200,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2731.0,060170302002010
2010,030200,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1687.0,060170302002010
2010,030200,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,1044.0,060170302002010
2010,030200,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,841.0,060170302002010
2010,030301,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,414.0,060170303012010
2010,030301,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,648.0,060170303012010
2010,030301,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,1510.0,060170303012010
2010,030301,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1062.0,060170303012010
2010,030301,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,448.0,060170303012010
2010,030301,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,294.0,060170303012010
2010,030302,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,458.0,060170303022010
2010,030302,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,833.0,060170303022010
2010,030302,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2152.0,060170303022010
2010,030302,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1291.0,060170303022010
2010,030302,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,861.0,060170303022010
2010,030302,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,700.0,060170303022010
2010,030401,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,961.0,060170304012010
2010,030401,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,668.0,060170304012010
2010,030401,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,3225.0,060170304012010
2010,030401,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1629.0,060170304012010
2010,030401,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,1596.0,060170304012010
2010,030401,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1353.0,060170304012010
2010,030402,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,676.0,060170304022010
2010,030402,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,1033.0,060170304022010
2010,030402,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2410.0,060170304022010
2010,030402,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1709.0,060170304022010
2010,030402,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,701.0,060170304022010
2010,030402,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,446.0,060170304022010
2010,030502,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,921.0,060170305022010
2010,030502,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,213.0,060170305022010
2010,030502,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,1843.0,060170305022010
2010,030502,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1134.0,060170305022010
2010,030502,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,709.0,060170305022010
2010,030502,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,641.0,060170305022010
2010,030504,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,910.0,060170305042010
2010,030504,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,307.0,060170305042010
2010,030504,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2126.0,060170305042010
2010,030504,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1217.0,060170305042010
2010,030504,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,909.0,060170305042010
2010,030504,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,811.0,060170305042010
2010,030505,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,841.0,060170305052010
2010,030505,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,267.0,060170305052010
2010,030505,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2091.0,060170305052010
2010,030505,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1108.0,060170305052010
2010,030505,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,983.0,060170305052010
2010,030505,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,878.0,060170305052010
2010,031600,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,294.0,060170316002010
2010,031600,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,1265.0,060170316002010
2010,031600,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,3078.0,060170316002010
2010,031600,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,1559.0,060170316002010
2010,031600,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,1519.0,060170316002010
2010,031600,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,1227.0,060170316002010
2010,032000,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Owner Occupied,H014002,2010,318.0,060170320002010
2010,032000,06,Occupancy and Vacancy Status,017,Occupied Housing Units: Renter Occupied,H004004,2010,163.0,060170320002010
2010,032000,06,Occupancy and Vacancy Status,017,Total Housing Units,H001001,2010,2784.0,060170320002010
2010,032000,06,Occupancy and Vacancy Status,017,Total Housing Units: Occupied,H003002,2010,481.0,060170320002010
2010,032000,06,Occupancy and Vacancy Status,017,Total Housing Units: Vacant,H003003,2010,2303.0,060170320002010
2010,032000,06,Occupancy and Vacancy Status,017,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,2227.0,060170320002010
2010,990000,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,H014002,2010,0.0,320319900002010
2010,990000,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,H004004,2010,0.0,320319900002010
2010,990000,32,Occupancy and Vacancy Status,031,Total Housing Units,H001001,2010,0.0,320319900002010
2010,990000,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,H003002,2010,0.0,320319900002010
2010,990000,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,H003003,2010,0.0,320319900002010
2010,990000,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,0.0,320319900002010
2020,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,727.0,320050016002020
2020,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,168.0,320050016002020
2020,001600,32,Occupancy and Vacancy Status,005,Total Housing Units,DP1_0147C,2020,1638.0,320050016002020
2020,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,DP1_0148C,2020,895.0,320050016002020
2020,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,DP1_0149C,2020,743.0,320050016002020
2020,001600,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,620.0,320050016002020
2020,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,331.0,320050017002020
2020,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,395.0,320050017002020
2020,001700,32,Occupancy and Vacancy Status,005,Total Housing Units,DP1_0147C,2020,1072.0,320050017002020
2020,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,DP1_0148C,2020,726.0,320050017002020
2020,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,DP1_0149C,2020,346.0,320050017002020
2020,001700,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,297.0,320050017002020
2020,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,787.0,320050018002020
2020,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,354.0,320050018002020
2020,001800,32,Occupancy and Vacancy Status,005,Total Housing Units,DP1_0147C,2020,1819.0,320050018002020
2020,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,DP1_0148C,2020,1141.0,320050018002020
2020,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,DP1_0149C,2020,678.0,320050018002020
2020,001800,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,539.0,320050018002020
2020,003305,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,299.0,320310033052020
2020,003305,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,198.0,320310033052020
2020,003305,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,773.0,320310033052020
2020,003305,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,497.0,320310033052020
2020,003305,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,276.0,320310033052020
2020,003305,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,221.0,320310033052020
2020,003306,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,380.0,320310033062020
2020,003306,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,371.0,320310033062020
2020,003306,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,1367.0,320310033062020
2020,003306,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,751.0,320310033062020
2020,003306,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,616.0,320310033062020
2020,003306,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,499.0,320310033062020
2020,003307,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,353.0,320310033072020
2020,003307,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,163.0,320310033072020
2020,003307,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,1017.0,320310033072020
2020,003307,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,516.0,320310033072020
2020,003307,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,501.0,320310033072020
2020,003307,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,439.0,320310033072020
2020,003308,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,961.0,320310033082020
2020,003308,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,165.0,320310033082020
2020,003308,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,1920.0,320310033082020
2020,003308,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,1126.0,320310033082020
2020,003308,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,794.0,320310033082020
2020,003308,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,678.0,320310033082020
2020,003310,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,491.0,320310033102020
2020,003310,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,169.0,320310033102020
2020,003310,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,1290.0,320310033102020
2020,003310,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,660.0,320310033102020
2020,003310,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,630.0,320310033102020
2020,003310,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,544.0,320310033102020
2020,003311,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,561.0,320310033112020
2020,003311,32,Occupancy and Vacancy Status,031,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,224.0,320310033112020
2020,003311,32,Occupancy and Vacancy Status,031,Total Housing Units,DP1_0147C,2020,1301.0,320310033112020
2020,003311,32,Occupancy and Vacancy Status,031,Total Housing Units: Occupied,DP1_0148C,2020,785.0,320310033112020
2020,003311,32,Occupancy and Vacancy Status,031,Total Housing Units: Vacant,DP1_0149C,2020,516.0,320310033112020
2020,003311,32,Occupancy and Vacancy Status,031,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,406.0,320310033112020
2020,020104,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,391.0,060610201042020
2020,020104,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,211.0,060610201042020
2020,020104,06,Occupancy and Vacancy Status,061,Total Housing Units,DP1_0147C,2020,1979.0,060610201042020
2020,020104,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,DP1_0148C,2020,602.0,060610201042020
2020,020104,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,DP1_0149C,2020,1377.0,060610201042020
2020,020104,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,1278.0,060610201042020
2020,020105,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,467.0,060610201052020
2020,020105,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,133.0,060610201052020
2020,020105,06,Occupancy and Vacancy Status,061,Total Housing Units,DP1_0147C,2020,1964.0,060610201052020
2020,020105,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,DP1_0148C,2020,600.0,060610201052020
2020,020105,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,DP1_0149C,2020,1364.0,060610201052020
2020,020105,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,1272.0,060610201052020
2020,020106,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,456.0,060610201062020
2020,020106,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,247.0,060610201062020
2020,020106,06,Occupancy and Vacancy Status,061,Total Housing Units,DP1_0147C,2020,1967.0,060610201062020
2020,020106,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,DP1_0148C,2020,703.0,060610201062020
2020,020106,06,Occupancy and Vacancy Status,061,Total Housing Units: Vacant,DP1_0149C,2020,1264.0,060610201062020
2020,020106,06,Occupancy and Vacancy Status,061,"Vacant Housing Units: Seasonal, recreational, or occasional use",DP1_0154C,2020,1199.0,060610201062020
2020,020107,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Owner Occupied,DP1_0159C,2020,509.0,060610201072020
2020,020107,06,Occupancy and Vacancy Status,061,Occupied Housing Units: Renter Occupied,DP1_0160C,2020,801.0,060610201072020
2020,020107,06,Occupancy and Vacancy Status,061,Total Housing Units,DP1_0147C,2020,1957.0,060610201072020
2020,020107,06,Occupancy and Vacancy Status,061,Total Housing Units: Occupied,DP1_0148C,2020,1310.0,060610201072020
