year_sample,tract,state,Description,county,variable_name,variable_code,census_geom_year,value,trpa_id
2010,001600,32,Census Household Income Distribution,005,"$10,000 to $14,999",B19001_003E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$100,000 to $124,999",B19001_014E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$125,000 to $149,999",B19001_015E,2010,34,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$15,000 to $19,999",B19001_004E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$150,000 to $199,999",B19001_016E,2010,16,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$20,000 to $24,999",B19001_005E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$200,000 or more",B19001_017E,2010,112,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$25,000 to $29,999",B19001_006E,2010,51,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$30,000 to $34,999",B19001_007E,2010,32,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$35,000 to $39,999",B19001_008E,2010,53,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$40,000 to $44,999",B19001_009E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$45,000 to $49,999",B19001_010E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$50,000 to $59,999",B19001_011E,2010,19,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$60,000 to $74,999",B19001_012E,2010,67,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"$75,000 to $99,999",B19001_013E,2010,0,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,"Less than $10,000",B19001_002E,2010,35,3.2005E+14
2010,001600,32,Census Household Income Distribution,005,Median Household Income,B06011_001E,2010,41250,3.2005E+14
2010,001600,32,Housing Units,005,Occupied Housing Units: Owner Occupied,H014002,2010,623,3.2005E+14
2010,001600,32,Housing Units,005,Occupied Housing Units: Renter Occupied,H004004,2010,167,3.2005E+14
2010,001600,32,Housing Units,005,Total Housing Units,H001001,2010,1721,3.2005E+14
2010,001600,32,Housing Units,005,Total Housing Units: Occupied,H003002,2010,790,3.2005E+14
2010,001600,32,Housing Units,005,Total Housing Units: Vacant,H003003,2010,931,3.2005E+14
2010,001600,32,Housing Units,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,839,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$10,000 to $14,999",B19001_003E,2010,33,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$100,000 to $124,999",B19001_014E,2010,18,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$125,000 to $149,999",B19001_015E,2010,63,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$15,000 to $19,999",B19001_004E,2010,28,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$150,000 to $199,999",B19001_016E,2010,14,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$20,000 to $24,999",B19001_005E,2010,73,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$200,000 or more",B19001_017E,2010,36,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$25,000 to $29,999",B19001_006E,2010,12,3.2005E+14
2010,001700,32,Census Household Income Distribution,005,"$30,000 to $34,999",B19001_007E,2010,51,3.2005E+14
